lang	text	created_at	coordinates.type	coordinates.coordinates.0	coordinates.coordinates.1	timestamp_ms	language_detections.0.confidence	source	place.country_code	place.url	place.country	place.place_type	place.bounding_box.type	place.bounding_box.coordinates.0.0.0	place.bounding_box.coordinates.0.0.1	place.bounding_box.coordinates.0.1.0	place.bounding_box.coordinates.0.1.1	place.bounding_box.coordinates.0.2.0	place.bounding_box.coordinates.0.2.1	place.bounding_box.coordinates.0.3.0	place.bounding_box.coordinates.0.3.1	place.full_name	place.name	id	user.lang	user.statuses_count	user.description	user.friends_count	user.url	user.time_zone	user.name	user.followers_count	user.screen_name	user.location	user.location_geocoding.type	user.location_geocoding.coordinates.0	user.location_geocoding.coordinates.1	user.favourites_count	user.geo_enabled	user.id	user.listed_count
und	@FGrau 😁😁😁 periodisme de qualitat!	Sun Jun 26 11:30:48 +0000 2016				1466940648841	6.35	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/56c45474148ca4da.json	United Kingdom	city	Polygon	-0.21607	51.509879	-0.21607	51.539792	-0.13016	51.539792	-0.13016	51.509879	Paddington, London	Paddington	747029341654102016	ca	91938	"#Digital en @BancoSabadell, #escritor a ratos (libres) y #tenista con @WilsonTenisEsp & @Sandacos. Soy un #moderno que se define en @Phusions. Views are my own"	5251	http://www.elenigmadeadriana.com	Madrid	Xavi Gassó	6660	XaviGasso	Barcelona, Catalunya - #SQV	Point	2.1734035	41.3850639	8178	true	17543440	561
und	@trinamilan @FGrau sigui com sigui, aquests dies els titulars (aquí) són molt curiosos... Molt.	Sun Jun 26 11:33:19 +0000 2016				1466940799210	8.28	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/56c45474148ca4da.json	United Kingdom	city	Polygon	-0.21607	51.509879	-0.21607	51.539792	-0.13016	51.539792	-0.13016	51.509879	Paddington, London	Paddington	747029972347420672	ca	91939	"#Digital en @BancoSabadell, #escritor a ratos (libres) y #tenista con @WilsonTenisEsp & @Sandacos. Soy un #moderno que se define en @Phusions. Views are my own"	5251	http://www.elenigmadeadriana.com	Madrid	Xavi Gassó	6660	XaviGasso	Barcelona, Catalunya - #SQV	Point	2.1734035	41.3850639	8178	true	17543440	561
und	@trinamilan @FGrau totalment d'acord!!	Sun Jun 26 11:34:42 +0000 2016				1466940882849	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/56c45474148ca4da.json	United Kingdom	city	Polygon	-0.21607	51.509879	-0.21607	51.539792	-0.13016	51.539792	-0.13016	51.509879	Paddington, London	Paddington	747030323154788352	ca	91940	"#Digital en @BancoSabadell, #escritor a ratos (libres) y #tenista con @WilsonTenisEsp & @Sandacos. Soy un #moderno que se define en @Phusions. Views are my own"	5251	http://www.elenigmadeadriana.com	Madrid	Xavi Gassó	6660	XaviGasso	Barcelona, Catalunya - #SQV	Point	2.1734035	41.3850639	8178	true	17543440	561
en	Allo Jean 437 comptes #Twitter    @quatremer by @didierdelmer  #TwitterTips	Sun Jun 26 12:16:04 +0000 2016				1466943364912	0.01	"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>"	GB	https://api.twitter.com/1.1/geo/id/26b0db32cfda0432.json	United Kingdom	city	Polygon	-0.06111	51.549969	-0.06111	51.648542	0.023642	51.648542	0.023642	51.549969	Walthamstow, London	Walthamstow	747040733681573888	en	1884	"#Vroozi is premier mobile-first cloud-based #procurement platform with customers and #suppliers across the globe. #Procure 2 Pay to your fingertip. #IsVroozi4u"	2224	http://www.vroozi.com	Pacific Time (US & Canada)	Vroozi Platform	2547	vroozi	Los Angeles, CA	Point	-118.2439408	34.0543942	194	true	562438579	175
und	@bcn3dtech TIL …	Sun Jun 26 12:36:11 +0000 2016				1466944571975	0.01	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	GB	https://api.twitter.com/1.1/geo/id/5d838f7a011f4a2d.json	United Kingdom	admin	Polygon	-0.510365	51.286702	-0.510365	51.691824	0.334043	51.691824	0.334043	51.286702	London, England	London	747045796470722561	en	2372	full-time idiot.	400	http://madgoose.co.uk	London	dom draper	211	dominic_hey	north london	Point	-0.1277583	51.5073509	92	true	16736445	11
en	Lend a hand Giroud	Sun Jun 26 13:05:36 +0000 2016				1466946336028	0.01	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	GB	https://api.twitter.com/1.1/geo/id/06168d1feda43857.json	United Kingdom	admin	Polygon	-1.957296	50.574606	-1.957296	52.196285	1.451788	52.196285	1.451788	50.574606	South East, England	South East	747053195445346304	en	68929	Arsenal Supporter obsessive with it. Football fanatic in general.Lover of Potatoes, Fried, mashed, boiled, chipped but prefer them roasted.	1992		Mid-Atlantic	Töre A G	1998	tag1403	London	Point	-0.1276473	51.5073219	2337	true	176171521	70
en	ffs Giroud	Sun Jun 26 13:46:54 +0000 2016				1466948814404	0.01	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	GB	https://api.twitter.com/1.1/geo/id/06168d1feda43857.json	United Kingdom	admin	Polygon	-1.957296	50.574606	-1.957296	52.196285	1.451788	52.196285	1.451788	50.574606	South East, England	South East	747063590507716608	en	68948	Arsenal Supporter obsessive with it. Football fanatic in general.Lover of Potatoes, Fried, mashed, boiled, chipped but prefer them roasted.	1993		Mid-Atlantic	Töre A G	1999	tag1403	London	Point	-0.1276473	51.5073219	2338	true	176171521	70
en	Giroud 😂😂	Sun Jun 26 13:51:02 +0000 2016	Point	-0.17368994	51.55510628	1466949062092	0.01	"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>"	GB	https://api.twitter.com/1.1/geo/id/5de8cffc145c486b.json	United Kingdom	city	Polygon	-0.213503	51.512805	-0.213503	51.572068	-0.105303	51.572068	-0.105303	51.512805	Camden Town, London	Camden Town	747064629386485760	en	8477		132		Pacific Time (US & Canada)	F	780	FMurray9	Locating....	Point	-97.9193779	29.892221	725	true	46425848	8
en	@SnarkyDeBastard @TRobinsonNewEra  cunts	Sun Jun 26 14:09:07 +0000 2016				1466950147259	3.23	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	GB	https://api.twitter.com/1.1/geo/id/569c1d39d5de5775.json	United Kingdom	city	Polygon	0.074802	51.408761	0.074802	51.478931	0.188938	51.478931	0.188938	51.408761	Bexley, London	Bexley	747069180906708992	en-gb	341	playing up since the 80;s	167			b boy 1	33	bdx12345	London, England	Point	-0.1276473	51.5073219	182	true	733073130562985984	3
en	Girouddd 😋😋😋	Sun Jun 26 14:21:49 +0000 2016				1466950909587	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/569c1d39d5de5775.json	United Kingdom	city	Polygon	0.074802	51.408761	0.074802	51.478931	0.188938	51.478931	0.188938	51.408761	Bexley, London	Bexley	747072378342105088	en	50373	my love for arsenal	3978		Casablanca	ᏚᎪNᏟᎻᎬᏃЇᏞ ☺️	4119	yasminkasapx	Bexley, London	Point	0.154327	51.439933	29419	true	57315460	19
